                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    113,                0.50544,                0.30222,                0.96913,                 0.9986,                      1,                  0.995,                0.91078,                0.44825,                0.24157,                 1.0348,              0.0005216,              0.0005216,              0.0005216
                    114,                0.51044,                0.32624,                0.96946,                0.99868,                      1,                  0.995,                0.89499,                0.46245,                0.25101,                  1.042,              0.0005084,              0.0005084,              0.0005084
                    115,                0.50388,                0.29764,                0.97491,                0.99868,                      1,                  0.995,                0.88987,                0.46645,                0.25343,                 1.0416,              0.0004952,              0.0004952,              0.0004952
                    116,                0.48973,                0.30652,                0.95446,                0.99866,                      1,                  0.995,                0.90516,                0.43876,                 0.2511,                  1.012,               0.000482,               0.000482,               0.000482
                    117,                0.49345,                0.31549,                 0.9743,                0.99865,                      1,                  0.995,                0.92644,                0.43584,                0.24156,                 1.0137,              0.0004688,              0.0004688,              0.0004688
                    118,                0.45745,                 0.2882,                0.95424,                0.99866,                      1,                  0.995,                0.90291,                0.49152,                 0.2402,                 1.0733,              0.0004556,              0.0004556,              0.0004556
                    119,                0.54199,                0.32119,                0.97489,                0.99868,                      1,                  0.995,                  0.926,                0.41968,                0.23704,                 1.0021,              0.0004424,              0.0004424,              0.0004424
                    120,                0.55223,                0.34735,                 1.0021,                0.99869,                      1,                  0.995,                0.91639,                0.42778,                0.23456,                 1.0139,              0.0004292,              0.0004292,              0.0004292
                    121,                0.45276,                0.27827,                0.95359,                0.99869,                      1,                  0.995,                0.91293,                0.46061,                0.22774,                 1.0399,               0.000416,               0.000416,               0.000416
                    122,                0.51625,                0.29707,                 1.0012,                0.99868,                      1,                  0.995,                 0.9179,                0.39996,                0.22241,                0.98704,              0.0004028,              0.0004028,              0.0004028
                    123,                0.50267,                0.30313,                0.98223,                0.99867,                      1,                  0.995,                0.91298,                0.40193,                0.20507,                0.98193,              0.0003896,              0.0003896,              0.0003896
                    124,                0.46495,                0.28568,                0.96051,                0.99866,                      1,                  0.995,                0.91485,                0.39498,                0.21244,                 0.9835,              0.0003764,              0.0003764,              0.0003764
                    125,                 0.5123,                0.30857,                0.96856,                0.99867,                      1,                  0.995,                0.92171,                0.42668,                0.22615,                 1.0162,              0.0003632,              0.0003632,              0.0003632
                    126,                0.53964,                0.35934,                 1.0198,                0.99868,                      1,                  0.995,                0.91111,                0.46325,                0.24426,                 1.0475,                0.00035,                0.00035,                0.00035
                    127,                 0.4644,                0.28724,                0.94756,                0.99866,                      1,                  0.995,                  0.922,                0.41741,                 0.2307,                 1.0082,              0.0003368,              0.0003368,              0.0003368
                    128,                0.46962,                0.28641,                0.95854,                0.99867,                      1,                  0.995,                 0.9332,                0.39946,                0.21149,                0.98721,              0.0003236,              0.0003236,              0.0003236
                    129,                0.56591,                0.31198,                 1.0373,                0.99866,                      1,                  0.995,                0.92371,                 0.4201,                0.21794,                 1.0003,              0.0003104,              0.0003104,              0.0003104
                    130,                 0.4988,                0.30064,                0.97163,                0.99865,                      1,                  0.995,                0.91016,                 0.4271,                0.21778,                 1.0083,              0.0002972,              0.0002972,              0.0002972
